english,hindi
"I am so sorry Richard.
","मैं बहुत शर्मिंदा हूँ रिचर्ड।
"
"You won't tell Inder anything.
","आप इंदर कुछ भी नहीं बताऊँगा।
"
"Are you all right?
","तुम ठीक हो?
"
"- On my life.
","- मेरी ज़िंदगी पर।
"
"I will find this killer.
","मैं इस हत्यारा मिलेगी.
"
"Oh, can he now?
","ओह, क्या अभी कर सकता है?
"
"Lt'll be shattering with her.
","इसको खाने में बडा मजा आयेगा.
"
"- Are you over 18?
","- क्या तुम 18 साल के ऊपर हो?
"
"Love is like that...
","Love is like that...
"
"How do you know?
","तुम्हें कैसे पता ?
"
"I sure do appreciate this.
","मुझे यकीन है कि इस की सराहना करते हैं.
"
"And what Horatius said was,
","और क्या Horatius कहा, था
"
"Put the knife down.
","चाकू नीचे रखो.
"
"No, shut the hell up.
","नहीं, मूंह बंद रखो.
"
"And shine my shoes.
","और मेरे जूते चमका दो.
"
"I JUST NEED ME NUMBER.
","मैं मुझे नंबर बस जरूरत है.
"
"Get up, your majesty.
","उठो, महामहिम.
"
"Who gives a shit!
","कोई परवाह कौन देता है!
"
"And what about our boys?
","और क्या हमारे लड़कों के बारे में?
"
"Remember my grandmother's holocaust ring?
","याद है मेरी दादी प्रलय की अंगूठी?
"
"You saved our lives.
","तुमने हमारी जान बचाई।
"
"My backpack was too heavy.
","धन्यवाद. तो जहाँ कि हमें करता है अब डाल दिया?
"
"Do you understand, Vito?
","आप वीटो, समझ में आया?
"
"He says we're going.
","कह रहा है कि हम जाने वाले हैं। अभी।
"
"- Didn't do it?
","- मैंने कुछ नहीं किया.
"
"- What was that, Attalus?
","- मैं केवल कि चिंता?
"
"- I'd love to.
","- मैं करने के लिए प्यार होता.
"
"I don't got a radio.
","मैं एक रेडियो नहीं मिला है.
"
"We are swollen, bloated, foul.
","हम सूजन, फूला हुआ, बेईमानी से कर रहे हैं।
"
"- Greetings, Mustakeen bhai.
","नमस्ते, Mustakeen भाई।
"
"Ice, is also great
","बर्फ, भी महान है
"
"NdeR M@nkÖÖ ™ © P@rM!
","©@ पीआर एम nderएम@ नायक ऊ
"
"/ It's pretty awesome.
","बढ़िया / यह बहुत भयानक है.
"
"No, that doesn't sound right.
","नहीं, यह सही नहीं लग रहा।
"
"And that this needs ice.
","और यह बर्फ की जरूरत है.
"
"He was talking madness.
","वह पागलपन बात कर रहा था।
"
"- I like you alive.
","मुझे तुम ज़िंदा ही पसंद हो।
"
"And each one is special.
","और हर बच्चा खास होता है।
"
"I will take your life.
","मैं अपने जीवन ले जाएगा।
"
"Mama, the tea's getting cold.
","माँ, चाय ठंडी हो रही है.
"
"- Bella does not.
","~ बेला नहीं करता है.
"
"You'll have to kill me.
","तुम मुझे मार दिया जाएगा.
"
"Has it started yet?
","शुरू हुआ क्या?
"
"- Okay, we'll see.
","- ठीक है, चलो देखते हैं.
"
"- No, stop it.
","- नहीं, यह बंद करो.
"
"Want some bread with salt?
","- नमक के साथ कुछ रोटी चाहते हो?
"
"I should fucking kill you.
","कमबख्त मैं तुम्हें जान से मार देना चाहिए.
"
"What about our garden?
","हमारे बगीचे के बारे में क्या?
"
"You'll be glad you did.
","... तुम्हें अफसोस नहीं होगा.
"
"Most likely from the operation.
","अधिकांश ऑपरेशन की वजह से है.
"
"You must come with us.
","तुम्हें हमारे साथ आना है.
"
"Why did you do that?
","तुमने ऐसा क्यों किया?
"
"No, it's j ust that...
","नहीं, सिर्फ कि...
"
"He's a nasty little motherfucker.
","वह एक बहुत बुरा है कमीने.
"
"That was all my fault.
","गलती मेरी थी।
"
"Never cross my path.
","मेरा रास्ता कभी न काटना.
"
"You like that one?
","आप एक है कि पसंद है?
"
"Oh, show us your muscles.
","ओह, हमें अपनी मांसपेशियों को दिखाने के लिए।
"
"- Kids will be kids...
","- बच्चे बच्चे ही रहेंगे ...
"
"- l want my life.
","-मैं अपनी जान चाहता हूँ.
"
"We only make him weaker.
","नहीं तो उसे और कमज़ोर बना देंगे।
"
"I will fix everything.
","मैं सब कुछ फिक्स जाएगा.
"
"Bob, how are you doing?
","बॉब, तुम्हारा कैसा चल रहा है?
"
"- Of course, he did.
","-बेशक गया होगा।
"
"The greatest of them all.
","उन सब का सबसे बड़ा.
"
"My name is Inessa Pavlovna.
","मेरा नाम Inessa Pavlovna है.
"
